dataset,dataset_full_name,dataset_link,c_source,c_programme,c_modality,c_obs_type,c_protocol,c_platform,c_workflow,c_cn_type,c_raw_cn_scale,c_raw_locus_type,c_reference,c_cancer_type,c_cancer_type_full_name,n_sample_num,n_cell_num,n_spot_num,n_after_qc_ratio,c_usage_permission
GSE152048_GSM4601022,GSE152048_GSM4601022,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4473,NA,NA,Open Access
GSE152048_GSM4601023,GSE152048_GSM4601023,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,7509,NA,NA,Open Access
GSE152048_GSM4601025,GSE152048_GSM4601025,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4459,NA,NA,Open Access
GSE152048_GSM4601026,GSE152048_GSM4601026,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4492,NA,NA,Open Access
GSE152048_GSM4601027,GSE152048_GSM4601027,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,4527,NA,NA,Open Access
GSE152048_GSM4601028,GSE152048_GSM4601028,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\osteosarcoma\sar_ost_GSE152048/sar_ost_GSE152048_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,OS,Osteosarcoma,1,7676,NA,NA,Open Access
GSE137829_GSM4089151,GSE137829_GSM4089151,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\prostate_cancer\pr_nepc_GSE137829/pr_nepc_GSE137829_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,1,23772,NA,NA,Open Access
GSE137829_GSM4089152,GSE137829_GSM4089152,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\prostate_cancer\pr_nepc_GSE137829/pr_nepc_GSE137829_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,1,4418,NA,NA,Open Access
GSE137829_GSM4089153,GSE137829_GSM4089153,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\prostate_cancer\pr_nepc_GSE137829/pr_nepc_GSE137829_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,1,8003,NA,NA,Open Access
GSE137829_GSM4089154,GSE137829_GSM4089154,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\prostate_cancer\pr_nepc_GSE137829/pr_nepc_GSE137829_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,1,3663,NA,NA,Open Access
GSE137829_GSM4711414,GSE137829_GSM4711414,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\prostate_cancer\pr_nepc_GSE137829/pr_nepc_GSE137829_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,1,33610,NA,NA,Open Access
GSE137829_GSM4711415,GSE137829_GSM4711415,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\prostate_cancer\pr_nepc_GSE137829/pr_nepc_GSE137829_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PRAD,Prostate Adenocarcinoma,1,32590,NA,NA,Open Access
GSE156405_GSM4730260,GSE156405_GSM4730260,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\pancreatic_cancer\pdac_GSE156405/pdac_GSE156405_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NextSeq 500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PAAD,Pancreatic Adenocarcinoma,1,1788,NA,NA,Open Access
GSE156405_GSM4730261,GSE156405_GSM4730261,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\pancreatic_cancer\pdac_GSE156405/pdac_GSE156405_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NextSeq 500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PAAD,Pancreatic Adenocarcinoma,1,1423,NA,NA,Open Access
GSE156405_GSM4730262,GSE156405_GSM4730262,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\pancreatic_cancer\pdac_GSE156405/pdac_GSE156405_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NextSeq 500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PAAD,Pancreatic Adenocarcinoma,1,7575,NA,NA,Open Access
GSE156405_GSM4730263,GSE156405_GSM4730263,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\pancreatic_cancer\pdac_GSE156405/pdac_GSE156405_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NextSeq 500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PAAD,Pancreatic Adenocarcinoma,1,3114,NA,NA,Open Access
GSE156405_GSM4730264,GSE156405_GSM4730264,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\pancreatic_cancer\pdac_GSE156405/pdac_GSE156405_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NextSeq 500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PAAD,Pancreatic Adenocarcinoma,1,1323,NA,NA,Open Access
GSE156405_GSM4730265,GSE156405_GSM4730265,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\pancreatic_cancer\pdac_GSE156405/pdac_GSE156405_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NextSeq 500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PAAD,Pancreatic Adenocarcinoma,1,2593,NA,NA,Open Access
GSE156405_GSM4730266,GSE156405_GSM4730266,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\pancreatic_cancer\pdac_GSE156405/pdac_GSE156405_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NextSeq 500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PAAD,Pancreatic Adenocarcinoma,1,11753,NA,NA,Open Access
GSE156405_GSM4730267,GSE156405_GSM4730267,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\pancreatic_cancer\pdac_GSE156405/pdac_GSE156405_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NextSeq 500,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,PAAD,Pancreatic Adenocarcinoma,1,2029,NA,NA,Open Access
GSE138709_GSM4116579,GSE138709_GSM4116579,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\biliary_cancer\cca_ih_GSE138709/cca_ih_GSE138709_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,CHOL,Cholangio Carcinoma,1,5654,NA,NA,Open Access
GSE138709_GSM4116580,GSE138709_GSM4116580,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\biliary_cancer\cca_ih_GSE138709/cca_ih_GSE138709_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,CHOL,Cholangio Carcinoma,1,13432,NA,NA,Open Access
GSE138709_GSM4116581,GSE138709_GSM4116581,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\biliary_cancer\cca_ih_GSE138709/cca_ih_GSE138709_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,CHOL,Cholangio Carcinoma,1,3733,NA,NA,Open Access
GSE138709_GSM4116582,GSE138709_GSM4116582,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\biliary_cancer\cca_ih_GSE138709/cca_ih_GSE138709_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,CHOL,Cholangio Carcinoma,1,65605,NA,NA,Open Access
GSE138709_GSM4116583,GSE138709_GSM4116583,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\biliary_cancer\cca_ih_GSE138709/cca_ih_GSE138709_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,CHOL,Cholangio Carcinoma,1,61808,NA,NA,Open Access
GSE138709_GSM4116584,GSE138709_GSM4116584,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\biliary_cancer\cca_ih_GSE138709/cca_ih_GSE138709_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,CHOL,Cholangio Carcinoma,1,14725,NA,NA,Open Access
GSE138709_GSM4116585,GSE138709_GSM4116585,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\biliary_cancer\cca_ih_GSE138709/cca_ih_GSE138709_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,CHOL,Cholangio Carcinoma,1,10413,NA,NA,Open Access
GSE182109_LGG_04_2,GSE182109_LGG_04_2,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,3052,NA,NA,Open Access
GSE182109_ndGBM_01_A,GSE182109_ndGBM_01_A,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,5018,NA,NA,Open Access
GSE182109_ndGBM_01_C,GSE182109_ndGBM_01_C,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,10342,NA,NA,Open Access
GSE182109_ndGBM_01_D,GSE182109_ndGBM_01_D,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,9338,NA,NA,Open Access
GSE182109_ndGBM_01_F,GSE182109_ndGBM_01_F,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,5773,NA,NA,Open Access
GSE182109_ndGBM_02_4,GSE182109_ndGBM_02_4,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,6518,NA,NA,Open Access
GSE182109_ndGBM_02_5,GSE182109_ndGBM_02_5,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,8748,NA,NA,Open Access
GSE182109_ndGBM_06,GSE182109_ndGBM_06,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,3884,NA,NA,Open Access
GSE182109_ndGBM_07,GSE182109_ndGBM_07,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,10304,NA,NA,Open Access
GSE182109_ndGBM_09,GSE182109_ndGBM_09,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,5779,NA,NA,Open Access
GSE182109_rGBM_01_B,GSE182109_rGBM_01_B,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,11716,NA,NA,Open Access
GSE182109_rGBM_01_C,GSE182109_rGBM_01_C,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,5965,NA,NA,Open Access
GSE182109_rGBM_02_2,GSE182109_rGBM_02_2,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,2658,NA,NA,Open Access
GSE182109_rGBM_02_3,GSE182109_rGBM_02_3,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,10947,NA,NA,Open Access
GSE182109_rGBM_02_5,GSE182109_rGBM_02_5,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,11967,NA,NA,Open Access
GSE182109_rGBM_03_1,GSE182109_rGBM_03_1,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,4311,NA,NA,Open Access
GSE182109_rGBM_03_2,GSE182109_rGBM_03_2,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,1992,NA,NA,Open Access
GSE182109_rGBM_03_3,GSE182109_rGBM_03_3,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,4748,NA,NA,Open Access
GSE182109_rGBM_04_2,GSE182109_rGBM_04_2,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,7081,NA,NA,Open Access
GSE182109_rGBM_04_3,GSE182109_rGBM_04_3,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,8236,NA,NA,Open Access
GSE182109_rGBM_04_4,GSE182109_rGBM_04_4,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,7296,NA,NA,Open Access
GSE182109_rGBM_05_2,GSE182109_rGBM_05_2,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,3454,NA,NA,Open Access
GSE182109_rGBM_05_3,GSE182109_rGBM_05_3,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\glioma\gbm_GSE182109/gbm_GSE182109_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina HiSeq 4000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,1,2130,NA,NA,Open Access
GSE195832_3219_SR_1,GSE195832_3219_SR_1,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\head_and_neck_cancer\hn_GSE195832/hn_GSE195832_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,1,12768,NA,NA,Open Access
GSE195832_3219_SR_2,GSE195832_3219_SR_2,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\head_and_neck_cancer\hn_GSE195832/hn_GSE195832_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,1,16012,NA,NA,Open Access
GSE195832_3219_SR_3,GSE195832_3219_SR_3,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\head_and_neck_cancer\hn_GSE195832/hn_GSE195832_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,1,14160,NA,NA,Open Access
GSE195832_3219_SR_4,GSE195832_3219_SR_4,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\head_and_neck_cancer\hn_GSE195832/hn_GSE195832_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,1,7683,NA,NA,Open Access
GSE195832_3219_SR_6,GSE195832_3219_SR_6,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\head_and_neck_cancer\hn_GSE195832/hn_GSE195832_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,1,4242,NA,NA,Open Access
GSE195832_3521_SR_1,GSE195832_3521_SR_1,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\head_and_neck_cancer\hn_GSE195832/hn_GSE195832_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,1,1262,NA,NA,Open Access
GSE195832_3521_SR_2,GSE195832_3521_SR_2,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\head_and_neck_cancer\hn_GSE195832/hn_GSE195832_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,1,1818,NA,NA,Open Access
GSE163558_GSM5004180,GSE163558_GSM5004180,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\gastric_cancer\gc_GSE163558/gc_GSE163558_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,STAD,Stomach Adenocarcinoma,1,2889,NA,NA,Open Access
GSE163558_GSM5004181,GSE163558_GSM5004181,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\gastric_cancer\gc_GSE163558/gc_GSE163558_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,STAD,Stomach Adenocarcinoma,1,9519,NA,NA,Open Access
GSE163558_GSM5004182,GSE163558_GSM5004182,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\gastric_cancer\gc_GSE163558/gc_GSE163558_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,STAD,Stomach Adenocarcinoma,1,7907,NA,NA,Open Access
GSE163558_GSM5004183,GSE163558_GSM5004183,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\gastric_cancer\gc_GSE163558/gc_GSE163558_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,STAD,Stomach Adenocarcinoma,1,5499,NA,NA,Open Access
GSE163558_GSM5004186,GSE163558_GSM5004186,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\gastric_cancer\gc_GSE163558/gc_GSE163558_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,STAD,Stomach Adenocarcinoma,1,9802,NA,NA,Open Access
GSE163558_GSM5004187,GSE163558_GSM5004187,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\gastric_cancer\gc_GSE163558/gc_GSE163558_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,STAD,Stomach Adenocarcinoma,1,14256,NA,NA,Open Access
GSE163558_GSM5004188,GSE163558_GSM5004188,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\gastric_cancer\gc_GSE163558/gc_GSE163558_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,STAD,Stomach Adenocarcinoma,1,1379,NA,NA,Open Access
GSE163558_GSM5004189,GSE163558_GSM5004189,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\gastric_cancer\gc_GSE163558/gc_GSE163558_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,STAD,Stomach Adenocarcinoma,1,11216,NA,NA,Open Access
GSE171306_GSM5222644,GSE171306_GSM5222644,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\renal_cell_carcinoma\rcc_GSE171306/rcc_GSE171306_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,KIRC,Kidney Renal Clear Cell Carcinoma,1,25662,NA,NA,Open Access
GSE171306_GSM5222645,GSE171306_GSM5222645,http://sctml.xglab.tech/scTML_data/used_10x_output_h5ad\10x_data\renal_cell_carcinoma\rcc_GSE171306/rcc_GSE171306_CNV_mat.csv,scTML,NCBI GEO,scRNA,cell,10x Chromium,Illumina NovaSeq 6000,InferCNV,Gene Log,log2 ratio,gene-level matrices,hg19,KIRC,Kidney Renal Clear Cell Carcinoma,1,28246,NA,NA,Open Access
